"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-19","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-20","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-21","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-22","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-23","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-24","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-25","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-26","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-27","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-28","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-29","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-30","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-31","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-01","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-02","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-03","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-04","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-05","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-06","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-07","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-08","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-09","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-10","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-11","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-12","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-13","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-14","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-15","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-16","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-17","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-18","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-19","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-20","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-21","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-22","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-23","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-24","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-25","84",,
